town_zh,town_en
阿里山鄉,ALISHAN TOWNSHIP
中埔鄉,ZHONGPU TOWNSHIP
大埔鄉,DAPU TOWNSHIP
水上鄉,SHUISHANG TOWNSHIP
鹿草鄉,LUCAO TOWNSHIP
太保市,TAIBAO CITY
朴子市,PUZI CITY
東石鄉,DONGSHI TOWNSHIP
六腳鄉,LIUJIAO TOWNSHIP
新港鄉,XINGANG TOWNSHIP
民雄鄉,MINXIONG TOWNSHIP
大林鎮,DALIN TOWNSHIP
溪口鄉,XIKOU TOWNSHIP
義竹鄉,YIZHU TOWNSHIP
布袋鎮,BUDAI TOWNSHIP
斗南鎮,DOUNAN TOWNSHIP
大埤鄉,DAPI TOWNSHIP
虎尾鎮,HUWEI TOWNSHIP
土庫鎮,TUKU TOWNSHIP
褒忠鄉,BAOZHONG TOWNSHIP
東勢鄉,DONGSHI TOWNSHIP
台西鄉,TAIXI TOWNSHIP
崙背鄉,LUNBEI TOWNSHIP
麥寮鄉,MAILIAO TOWNSHIP
斗六市,DOULIU CITY
林內鄉,LINNEI TOWNSHIP
古坑鄉,GUKENG TOWNSHIP
莿桐鄉,CITONG TOWNSHIP
西螺鎮,XILUO TOWNSHIP
二崙鄉,ERLUN TOWNSHIP
北港鎮,BEIGANG TOWNSHIP
水林鄉,SHUILIN TOWNSHIP
口湖鄉,KOUHU TOWNSHIP
四湖鄉,SIHU TOWNSHIP
元長鄉,YUANZHANG TOWNSHIP
中西區,WEST CENTRAL DIST.
東區,EAST DIST.
南區,SOUTH DIST.
北區,NORTH DIST.
安平區,ANPING DIST.
安南區,ANNAN DIST.
永康區,YONGKANG DIST.
歸仁區,GUIREN DIST.
新化區,XINHUA DIST.
左鎮區,ZUOZHEN DIST.
玉井區,YUJING DIST.
楠西區,NANXI DIST.
南化區,NANHUA DIST.
仁德區,RENDE DIST.
關廟區,GUANMIAO DIST.
龍崎區,LONGQI DIST.
官田區,GUANTIAN DIST.
麻豆區,MADOU DIST.
佳里區,JIALI DIST.
西港區,XIGANG DIST.
七股區,QIGU DIST.
將軍區,JIANGJUN DIST.
學甲區,XUEJIA DIST.
北門區,BEIMEN DIST.
新營區,XINYING DIST.
後壁區,HOUBI DIST.
白河區,BAIHE DIST.
東山區,DONGSHAN DIST.
六甲區,LIUJIA DIST.
下營區,XIAYING DIST.
柳營區,LIUYING DIST.
鹽水區,YANSHUI DIST.
善化區,SHANHUA DIST.
大內區,DANEI DIST.
山上區,SHANSHANG DIST.
新市區,XINSHI DIST.
安定區,ANDING DIST.
新興區,XINXING DIST.
前金區,QIANJIN DIST.
苓雅區,LINGYA DIST.
鹽埕區,YANCHENG DIST.
鼓山區,GUSHAN DIST.
旗津區,QIJIN DIST.
前鎮區,QIANZHEN DIST.
三民區,SANMIN DIST.
楠梓區,NANZI DIST.
小港區,XIAOGANG DIST.
左營區,ZUOYING DIST.
仁武區,RENWU DIST.
大社區,DASHE DIST.
岡山區,GANGSHAN DIST.
路竹區,LUZHU DIST.
阿蓮區,ALIAN DIST.
田寮區,TIANLIAO DIST.
燕巢區,YANCHAO DIST.
橋頭區,QIAOTOU DIST.
梓官區,ZIGUAN DIST.
彌陀區,MITUO DIST.
永安區,YONG’AN DIST.
湖內區,HUNEI DIST.
鳳山區,FENGSHAN DIST.
大寮區,DALIAO DIST.
林園區,LINYUAN DIST.
鳥松區,NIAOSONG DIST.
大樹區,DASHU DIST.
旗山區,QISHAN DIST.
美濃區,MEINONG DIST.
六龜區,LIUGUI DIST.
內門區,NEIMEN DIST.
杉林區,SHANLIN DIST.
甲仙區,JIAXIAN DIST.
桃源區,TAOYUAN DIST.
那瑪夏區,NAMAXIA DIST.
茂林區,MAOLIN DIST.
茄萣區,QIEDING DIST.
屏東市,PINGTUNG CITY
三地門鄉,SANDIMEN TOWNSHIP
霧台鄉,WUTAI TOWNSHIP
瑪家鄉,MAJIA TOWNSHIP
九如鄉,JIURU TOWNSHIP
