gov Id 識別碼,gov Name 景點名稱,Place ID,名稱,評分,評論數,分類標籤,地址,經度,緯度,營業狀態,營業時間,圖片資訊
C1_382000000A_110079,南天花苑,ChIJJX6TFghbXTQRAVKjlEo_rFY,三貂南天宮,4.4,64,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",227台灣新北市雙溪區新基北街64號,121.8687341,25.0399419,OPERATIONAL,,AeeoHcJdEELfTcKeeBK6Leon3NfvNT_OwfMbeYm_G16lzlMMs7qeXs4PQjasesGzjitAxrfIWEyfj-UBG2Z9NNzoEepTJaGQxG3LH3SC8DwoQd0HbpAlaRtlpupC2_4mccIY0zMlVbUzSnMC0bV1a5l9Iqi5Vz61o0P3PPqX-sAGg7MfVv0YZv27A6Z6Es1re-gbLgI0hW-zVp99kJN7qGEV1O3529O3Nu5-KlS9LVtmNLBKfQV7XX2hJkJTtLwCD2BjTwC33IrsypQGMKc14sWfgDSFe6GdG1zOC8TuGWCFnHcNjjJlVTM
C1_382000000A_110133,永續環境教育中心,ChIJ1YIBDmmlQjQROpLfwaA6L1M,新北市永續環境教育中心,3.6,90,"['point_of_interest', 'establishment']",249台灣新北市八里區觀海大道36號,121.4303267,25.1606311,OPERATIONAL,{'open_now': True},AeeoHcJ1v6zsU6yKIlv-Tbv0B-qUYDR1o7e7YUsBOzUbI2ae8Okl6Sr3mfYVuizB0w8hX99Zv5PS2BG1JZTdsNatXXj67a98G4uaqQexWU-ZfTz7OwIlRrSQan968q6rLsEtwsWGbJhF9jJp9-VniiCmd9BREIW5yGmweDDn8OSK_BxAssmwk7fpv5mxIzEpzsbW4pDFOi-3wt7yWmvy3Qs_6Z_O96rJbDwiWrmHjZ7h-oOcCiyb6IO6nng4A_67UMxMtWaH4Xde1H7LcAcuBEdMdZoUdoXAnH1aX1lMoTV3i0CTRLTvqf4
C1_382000000A_110153,卯澳石頭古厝建築,ChIJ9RQzpn9dXTQRos8zPmB-Yuc,卯澳吳家樓仔厝,4.2,258,"['point_of_interest', 'establishment']",228台灣新北市貢寮區福連里,121.9892961,25.0132551,OPERATIONAL,{'open_now': True},AeeoHcLTdq8NXeohV-JH0y3_annzMdwyqYlrWlmjMF2_rHm6udO8xenNTQ9CtmPVeIXSDZfag6FFuU6H9HTbAWal8qMTbyInBDWop0RzTdctRfhQ_mV6Fy0mTVKJy5_bf8U8_9biKS5rEN936nWpwbwYNq7XBDx2DnQs7p7Sv0h6Z9Q6DNc-cnA6UeSnEDsvF4UwuIDnt145grIJp9VstOZxmgPJAa18n9WOhCZikBkLUKWX20CtgsuelUA0ERwtb3VT0Elt4NMsXVGUPjUGZj0aCZfjuB44LPup-CYM0SkQZ1SA-wGGN-DFiGG_bsftwvDkHdOj7dOd2Ur1D0WNSq9B9a0NfjYdaoCk1V5PG_LtJwjgGSOpLeyv_ODF3ZwUCG3SriSM-SEBiHjE1-xDHTIpbCnKco5r-2iI1eVQ50CG2QthTO32CGzfMmQtH_s6yI7T-CV8w5HJ2ccAfl3eBb-1-5c6RZxp5kw2CW7RnsPO7WKV-Wujm4DOo_ECn7B8SGprbuysWhom8a0mcRcIdT6Ghy36CmoqFohEE2BpDnqtgxRd0EMOftpfAhfDarEAzqtg63BL6VJQMdWVVQ
C1_382000000A_110246,華新街(緬甸街),ChIJA9iie24CaDQR3Mq0vXmz9eU,中和緬甸街,4.1,2340,"['tourist_attraction', 'point_of_interest', 'establishment']",235台灣新北市中和區華新街,121.5079958,24.9841091,OPERATIONAL,{'open_now': True},AeeoHcI2KLyFiYFUAlQQ3kmxPDqtKLgdq_5lT6j0cv5m1_9FXb8AhnqUvKatZ9wIcC0f4vN-V4ccNN2rExRVR7PacPmS54hpxcymlu3MrWt7p4tBSRpLJ4W2p6sKg75Zw0fOz_6sSgAo8VjLnOv3Fe85HrNEwbLlVUJGDISIFdhEacPmXr6Fd0Q1rQ3vxyKomx8tkNMq7aI7SfnoA-1P2tYyQOla50GR6VG9o1nwn98Wjy39iUavb3xezAZ8hjmS_Lu0Saj4jt0ZPN-Eov9odPsVCC0cDAf9ei6UK1Lutvw1D7FuMy0A1zU
C1_382000000A_110339,碧華布街(三重布莊博物園區),ChIJaZ-tEtGoQjQR0Kaj3_hsNEU,碧華布街,4.1,667,"['tourist_attraction', 'point_of_interest', 'establishment']",241台灣新北市三重區碧華街,121.4881159,25.0828282,OPERATIONAL,{'open_now': False},AeeoHcKskki5-OFqA3t5XW8Lao5F2RrDgdmevNjQUwzMpBe1b7DwAkWXxPdfS9eORHCT4l5su2y6_EGzLe1KrfSX41t1AEWF4GRAo6PLXynwM_Qw_pVxK74DdgoYMPt0GbQV0CNBMKz4Cb72OrDJkVUjuwXHuDThie5TINaGArdVlwY3zDjDA1LFXnfD_qXyCg0l3Pa19jx03UKcsA7KKAPtlgBkaUG5oz-mmWRIMDsHNbhmgJuXefD_LNFbJAdVpUwrMDmwbVluyTn-l1RAAcolzrxhJB8HZsE2Q2FRv-D5WRTO5edP8Nc
C1_382000000A_110343,新北大都會公園 (二重疏洪道河濱公園),ChIJBSoVxvqoQjQRZM2dMn6EITg,新北大都會公園,4.6,15229,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",241台灣新北市三重區水漾路一段,121.4807459,25.055464,OPERATIONAL,{'open_now': True},AeeoHcIh2809EJH-AH8joy6-ETLs4eveNtfazVWbNRFDUVW2x1zspg42oWrO4QFB5lmcI3T1wPFIGxjxcETZpTLksOCaWtKwZdgoV_ptwHy3I7U11DighdithhraDfNaPBCLiA8cnMZMXNMqYBpqUvrmNyAiSpKOvry6gXNcnO35Jxvx-BSAAMvwgKxlZtbbD9bdz-FNCMkydOAJwMF1pFDZokuOz0FubZDCzn7iziicggEUOfdU0b2AzMyjWJ8hU4_Gb8gzRztRvGC1LHbm8QAmIVm3IFBdS3f168x5dAdj_2oEom0nYVY
C1_382000000A_110354,義塚大墓公,ChIJuWzdzdUcaDQR_Zg4u65vHYw,土城義塚大墓公,4.5,93,"['place_of_worship', 'point_of_interest', 'establishment']",236台灣新北市土城區忠義路61號,121.4405376,24.9681256,OPERATIONAL,{'open_now': True},AeeoHcI2e5lb9UwORIDgi3gBjOirbHYx3heoghnAjdYedfzaEWwO9WVaULu1EyMZI1pYQcMIx2Nqj_JbplpcYtGuT6iLZHIp_4zv4djU69v7t8qvADwkzaQR5mTiONWfA6LER0mo3hJ3hF6tbgrYv9_BMtLyyqxvXD0hyil9QaXBMLSDnKpatj7qNWSUxeGOjQ_3iHa4Y1F95QmoR4HaORbox3KP4exsOqH6bjtWF08Nfh1lx3VkLrAm-y8e1kB1nllg2OyFOyfxlXkcUBVZqJo9wuzrPmALb38rT1_BCGmGpgH2QebfSd8
C1_382000000A_110374,金山跳石海岸,ChIJHfV_8StLXTQRNYhMcJsU0V8,跳石海岸,4.5,1388,"['tourist_attraction', 'point_of_interest', 'establishment']",208台灣新北市金山區北部濱海公路,121.6335644,25.2574116,OPERATIONAL,{'open_now': True},AeeoHcKdEQ1gEzRmTDcHTK_uFo0hm23Fw8uoAIS_VddmJ2_1iQ2wCi0zVESPbACj4ksxnLiPg9eDpBWxcclEf9OKt0TLD6BvPk7N-jFbbiHW-WsS63gHiV3gDTag6Bs2OMBRoJjqkqpszeBm9R18WnejuoSc0LrHrMSJ9uJ-oTSmrY-36pfd3n-s82ZcnVZdNKGjt1Xd42WuTyb3HIgveBcvC85UDkxDjklVXJVWfc1bhugBKy2rxGSwS6rHLbmLhqO5ZLjVz1G1LOUkTWhybhjqOMZFNT3GtNHtoG4aAPkhr7wbfq52tRg
C1_382000000A_110398,滬尾礮臺(新北市立淡水古蹟博物館),ChIJU92su06lQjQRXPCBsEmvUZM,滬尾礮臺,4.3,2018,"['tourist_attraction', 'point_of_interest', 'establishment']",251台灣新北市淡水區中正路一段6巷34號,121.429389,25.179218,OPERATIONAL,{'open_now': True},AeeoHcJpb3tTW5Dxl9PuhEMjFoRXO5NsZg5Du2ypGBx1eMdSZoEJe6BDKu0FUCcsS2MKtvXGRpZe9txJjBOFU9_09PTnE1fzw19xscPwff0zyv53qMENJ8bZG6QGIA3vTJCiMQ2mTE-udwXp48nKaA4d0Dt50biBmHR4X9UdiIBgzoNUw5MZnsvxdTM5E3gbzMOTtGyDXmz5zQjz3TU9EVo3o-0YjcKuxOrKmYogqSMGX72Y7YiDDYMFUrHvHsLOe-K6fgQfoGyv5HFd8oysqaO24VeV2PldUUd0-087rnzGH8y-1fSZS0U
C1_382000000A_110411,滬尾馬偕醫館,ChIJ84bsbFqlQjQRikTSfdKxrWQ,滬尾偕醫館,4.4,889,"['tourist_attraction', 'point_of_interest', 'establishment']",251台灣新北市淡水區馬偕街6號,121.4385995,25.171844,OPERATIONAL,{'open_now': False},AeeoHcL4o57PNCpZCyLL5Q6iROK2F8V_-nsf0Ng9d51wL5VwofOfesEo2uS0GWR79wPu64ojQf7jl5Mmv1YduIxNEJNLw6oImjjYPHyCsu0l-A2Bz3PkXiJpbvISmkd86u2nukcWvMzlTTYa_-QdSe5DL4d3ibNrIHjbtRa28FKpiWVvuM0fsTJjc87ha6vU4wVGMbVoMqGbuqarc0Ck7O62aXDLPAx-p1JOTkO_ClnqEV5QsySsbVIGIJoPDdd-8dRKadAfbtC22Rhjux83x-LN8Bj-v1EVvBpkD1avO5n_eN31inHwGyY
