food_id,f_name,county,address,rate,geo_loc,gmaps_url,f_type,comm,area
70199039-5133-4fa5-b294-03b112ee7bd5,南園活魚老店餐廳(無固定公休),桃園市,桃園市龍潭區佳安西路5之5號,4.7,POINT(24.83538 121.23890),https://www.google.com/maps/place/?q=place_id:ChIJbyfNXJ89aDQROrbJXMoitdc,餐廳,2003,龍潭區
36188b83-d9b1-44a6-8559-447b6aa753c2,大石門活魚老店 (整尾賣、賣完即提早打烊),桃園市,桃園市龍潭區佳安里佳安西路5之6號,4.6,POINT(24.83524 121.23887),https://www.google.com/maps/place/?q=place_id:ChIJJ0DRab09aDQR8RFxHffVaBI,餐廳,1825,龍潭區
687987fd-e372-445c-bc2d-408ababc21aa,福隆活魚土雞餐廳,桃園市,桃園市龍潭區佳安西路92號,4.0,POINT(24.83490 121.23911),https://www.google.com/maps/place/?q=place_id:ChIJVYWrer09aDQR7KN6ZjgHSV0,餐廳,156,龍潭區
6257d50c-56c1-411b-acd4-86fc09dc5e3d,石門花園活魚餐廳,桃園市,桃園市龍潭區文化路447號,3.8,POINT(24.84762 121.24348),https://www.google.com/maps/place/?q=place_id:ChIJsesuxpc9aDQRxWUpAFxVlWo,餐廳,431,龍潭區
2e91b28a-c77f-462d-a6b7-bf254eacb61f,菓園活魚土雞餐廳,桃園市,桃園市大溪區康莊路五段182號,4.1,POINT(24.82316 121.25901),https://www.google.com/maps/place/?q=place_id:ChIJpU9hMycWaDQRFlCCQmyxySs,餐廳,1491,大溪區
6d2f4ff1-3fae-4ce6-8415-fff06d224b59,山霸王活魚土雞餐廳,桃園市,桃園市大溪區康莊路五段82號,4.2,POINT(24.82695 121.26608),https://www.google.com/maps/place/?q=place_id:ChIJ0f5e-yYWaDQRHVmWQyBl9Kc,餐廳,1589,大溪區
44709c5d-9cb3-4593-9bc1-5b44d616c68a,十一份活魚餐廳,桃園市,桃園市大溪區康莊路五段70號,4.3,POINT(24.82720 121.26632),https://www.google.com/maps/place/?q=place_id:ChIJDXzo3vI9aDQRdNBWaxAB-LM,餐廳,2831,大溪區
0cc67eca-d0a9-407c-9058-a58f9fb17dae,橋頭活魚餐廳,桃園市,桃園市龍潭區大平村二坪段1之1號,4.2,POINT(24.82605 121.25138),https://www.google.com/maps/place/?q=place_id:ChIJB1rwd8E9aDQRg5e-4VZ7wGM,餐廳,796,龍潭區
801fa6d7-c032-4f44-8b7e-ba5b09d302e8,糊口老街客家活魚餐館,桃園市,桃園市龍潭區龍源路大平段790號,4.1,POINT(24.82553 121.24999),https://www.google.com/maps/place/?q=place_id:ChIJz2eciJI9aDQRPoEn46dc6VM,餐廳,805,龍潭區
e7fb53b4-17fa-43f6-9d9b-456ad0e94c0e,石湖活魚餐廳,桃園市,桃園市龍潭區龍源路大平段690巷51號,4.0,POINT(24.82508 121.24833),https://www.google.com/maps/place/?q=place_id:ChIJB1rwd8E9aDQRbWKz4GKctFU,餐廳,504,龍潭區
40a28c57-7126-4b51-ab7a-72f47bd71a4d,石峰活魚餐廳,桃園市,桃園市龍潭區石門路93號,4.1,POINT(24.82895 121.24381),https://www.google.com/maps/place/?q=place_id:ChIJBf7KcZQ9aDQRpjYWyqg-Kbg,餐廳,610,龍潭區
