title,free,from_price,date,image_url,event_url,event_id,address,location,lng,lat
台北 | 李奉2025個展《願境》,True,,4月15日(週二) - 5月31日(週六),"https://res.klook.com/image/upload/x_0,y_8,w_1116,h_1562,c_crop/v1744947682/events_admin/hwibmlj1dhumlaqufwjl.jpg",https://www.klook.com/zh-TW/event-detail/101029310-2025-lee-feng-solo-exhibition/,101029310,,,,
新北 | Xdinary Heroes台北演唱會2025｜Xdinary Heroes <Beautiful Mind> World Tour in TAIPEI｜Zepp New Taipei,False,HK$ 977,7月11日(週五),"https://res.klook.com/image/upload/x_0,y_10,w_1448,h_2027,c_crop/v1745207546/events_admin/bgvrdovuburztse6njvp.jpg",https://www.klook.com/zh-TW/event-detail/101029336-2025-xdinary-heroes-taipei/,101029336,,,,
台北 | YENA (崔叡娜) 台北演唱會2025｜2025 YENA 1ST CONCERT <從NEMO開始的異世界！旅行> in Taipei｜Legacy TERA,False,HK$ 638,5月24日(週六),"https://res.klook.com/image/upload/x_0,y_21,w_3000,h_4200,c_crop/v1745203263/events_admin/rmqnctlqycf0awtk874q.jpg",https://www.klook.com/zh-TW/event-detail/101029334-2025-yena-taipei-concert/,101029334,,,,
台北 | acosta!@台北,False,HK$ 77,5月30日(週五) - 6月1日(週日),https://res.klook.com/image/upload/326x460_5_muwegl.jpg,https://www.klook.com/zh-TW/activity/153830-acosta-taipei/,101029329,,,,
屏東縣 | 《大航海時代！亞洲巡迴展 - 台灣唯一站》,False,HK$ 69,6月21日(週六) - 10月19日(週日),https://res.klook.com/image/upload/大航海時代_klook_1_展演頁面活動首圖_326x460px_kgix5g.jpg,https://www.klook.com/zh-TW/activity/153873-the-age-of-discovery-asia-tour-exhibition-taiwan-station/,101029328,,,,
"台北 | muque台北專場2025｜MUQUE TOUR 2025 ""RIDE ON !"" in Taipei",False,HK$ 386,8月3日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744970091/events_admin/bogsgjb5lkyzbnnpbhmr.jpg",https://www.klook.com/zh-TW/event-detail/101029325-2025-muque-taipei-concert/,101029325,,,,
台北 | 耍廢。甩廢 天生廢材必有用｜大安森環保市集,True,,6月21日(週六) - 6月22日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744966685/events_admin/bkmgzrqjbkyltinu9yji.jpg",https://www.klook.com/zh-TW/event-detail/101029324-2025-taipei-weekend-market/,101029324,,,,
台北 | JAZZ UP! 爵士樂生活｜市集｜CITYLINK南港店,True,,6月7日(週六) - 6月8日(週日),"https://res.klook.com/image/upload/x_51,y_0,w_857,h_1200,c_crop/v1744965042/events_admin/dlsetoeo2b4vejhbqrwq.jpg",https://www.klook.com/zh-TW/event-detail/101029323-2025-jazz-up-market/,101029323,,,,
台北 | 《新世紀福音戰士》主題Café｜MyAnime Café｜三創生活園區,True,,4月25日(週五) - 5月28日(週三),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744962866/events_admin/ghebnr8ocim7bygokftl.jpg",https://www.klook.com/zh-TW/event-detail/101029318-2025-evangelion/,101029318,,,,
高雄 | Lauv高雄演唱會2025｜Lauv’s I Love You， Mean It Tour｜高雄流行音樂中心,False,HK$ 720,5月28日(週三),"https://res.klook.com/image/upload/x_6,y_0,w_1457,h_2040,c_crop/v1744960782/events_admin/kpuvmseqxqcsoqkr04mg.jpg",https://www.klook.com/zh-TW/event-detail/101029316-2025-lauv-kaohsiung-concert/,101029316,,,,
